id,t_send,scope,segment,size_bucket,amount_rel,gc,outcome,t_decision
542,404,Windows,commercial,XL,746,GC123,0,
543,406,Windows,commercial,L,292,GC189,0,
544,406,Mirrors,commercial,M,42.2,GC052,0,
545,406,Windows,commercial,M,40.7,GC084,0,
546,407,Windows,commercial,M,24.3,GC108,0,
547,407,Shower Doors,commercial,S,11.3,GC108,0,
548,407,Mirrors,commercial,S,4.48,GC108,0,
549,411,Windows,commercial,L,143,GC119,0,
550,411,Mirrors,commercial,S,14.6,GC119,0,
551,412,Windows,commercial,XL,440,GC087,0,
552,412,Mirrors,commercial,M,32.3,GC087,1,701
553,412,Shower Doors,commercial,M,31.1,GC087,1,701
554,413,Shower Doors,commercial,M,49.5,GC199,0,
555,413,Windows,commercial,L,115,GC199,0,
556,413,Mirrors,commercial,S,8.05,GC014,0,
557,414,Windows,commercial,L,158,GC213,0,
558,414,Mirrors,commercial,M,30.3,GC213,0,
559,418,Mirrors,commercial,S,1.97,GC063,0,
560,418,Windows,commercial,M,22.1,GC063,0,
561,419,Windows,commercial,L,225,GC063,0,
562,419,Mirrors,commercial,S,7.22,GC063,0,
563,420,Windows,commercial,M,19.2,GC016,0,
564,422,Windows,commercial,M,19,GC108,0,
565,422,Mirrors,commercial,S,1.49,GC108,0,
566,422,Shower Doors,commercial,S,10.6,GC108,0,
567,422,Windows,commercial,L,320,GC201,0,
568,422,Mirrors,commercial,L,80.6,GC162,0,
569,422,Windows,commercial,L,357,GC162,0,
570,422,Shower Doors,commercial,L,203,GC022,0,
571,422,Mirrors,commercial,M,69.6,GC022,0,
572,422,Windows,commercial,XL,750,GC022,0,
573,425,Mirrors,commercial,S,14.4,GC041,0,
574,425,Shower Doors,commercial,S,17.6,GC041,0,
575,425,Windows,commercial,L,120,GC041,0,
576,426,Mirrors,commercial,S,6.28,GC184,0,
577,426,Shower Doors,commercial,S,2.81,GC184,0,
578,426,Windows,commercial,M,63.6,GC184,0,
579,426,Windows,commercial,S,4.33,GC133,0,
580,427,Windows,commercial,XL,1520,GC084,0,
581,427,Mirrors,commercial,M,28.9,GC094,1,539
582,427,Windows,commercial,XL,373,GC094,1,539
583,428,Windows,commercial,L,262,GC154,0,
584,428,Shower Doors,commercial,M,30.4,GC154,1,666
585,429,Windows,commercial,L,139,GC083,0,
586,429,Windows,commercial,L,243,GC083,0,
587,429,Shower Doors,commercial,S,10.6,GC102,0,
588,429,Windows,commercial,M,73.6,GC094,0,
589,429,Mirrors,commercial,S,1.97,GC094,0,
590,433,Windows,commercial,L,76,GC033,0,
591,435,Mirrors,commercial,M,28.4,GC192,0,
592,435,Windows,commercial,XL,745,GC192,0,
593,436,Shower Doors,commercial,M,71.5,GC069,0,
594,436,Windows,commercial,XL,603,GC069,0,
595,436,Mirrors,commercial,S,13.7,GC069,0,
596,436,Mirrors,commercial,M,34.1,GC024,0,
597,436,Windows,commercial,XL,478,GC024,0,
598,440,Windows,commercial,XL,458,GC222,0,
599,440,Mirrors,commercial,S,18.1,GC222,0,
600,440,Shower Doors,commercial,S,14.6,GC222,0,
601,441,Mirrors,commercial,L,106,GC199,0,
602,441,Shower Doors,commercial,L,153,GC199,0,
603,441,Windows,commercial,XL,798,GC199,0,
604,441,Shower Doors,commercial,S,16.7,GC063,0,
605,441,Windows,commercial,L,250,GC063,0,
606,441,Mirrors,commercial,M,22.5,GC063,0,
607,443,Mirrors,commercial,S,11.1,GC119,0,
608,443,Shower Doors,commercial,M,44.2,GC119,0,
609,443,Windows,commercial,L,311,GC119,0,
610,448,Windows,commercial,M,19.4,GC087,0,
611,448,Windows,commercial,XL,985,GC063,0,
612,448,Shower Doors,commercial,L,194,GC063,0,
613,448,Mirrors,commercial,M,38,GC063,0,
614,450,Windows,commercial,M,58.3,GC108,0,
615,450,Mirrors,commercial,S,4.75,GC108,0,
616,450,Shower Doors,commercial,M,21.8,GC187,0,
617,450,Windows,commercial,L,148,GC187,0,
618,450,Mirrors,commercial,S,3.92,GC187,0,
619,454,Mirrors,commercial,S,3.67,GC184,0,
620,454,Windows,commercial,M,36.5,GC184,0,
621,455,Windows,commercial,M,50.7,GC001,0,
622,460,Windows,commercial,XL,689,GC138,0,
623,460,Mirrors,commercial,M,32.5,GC138,0,
624,461,Windows,commercial,L,187,GC097,1,573
625,463,Windows,commercial,L,110,GC063,0,
626,463,Mirrors,commercial,M,36.5,GC063,0,
627,463,Shower Doors,commercial,M,61.3,GC063,0,
628,464,Windows,commercial,XL,620,GC228,0,
629,464,Mirrors,commercial,M,57.2,GC228,0,
630,467,Mirrors,commercial,L,99.7,GC014,0,
631,467,Shower Doors,commercial,M,54.8,GC014,0,
632,467,Windows,commercial,XL,1140,GC014,0,
633,468,Windows,commercial,L,111,GC143,0,
634,468,Windows,commercial,XL,690,GC084,0,
635,468,Mirrors,commercial,M,42.1,GC084,0,
636,468,Shower Doors,commercial,L,141,GC084,0,
637,469,Windows,commercial,L,214,GC051,0,
638,469,Shower Doors,commercial,M,48,GC051,0,
639,469,Mirrors,commercial,M,26.6,GC051,0,
640,471,Windows,commercial,S,12.2,GC080,1,654
641,475,Mirrors,commercial,S,7.53,GC138,0,
642,475,Mirrors,commercial,S,4.26,GC184,0,
643,475,Shower Doors,commercial,S,13.4,GC141,1,579
644,475,Windows,commercial,L,164,GC141,1,579
645,475,Shower Doors,commercial,L,90.5,GC084,0,
646,475,Windows,commercial,L,273,GC084,0,
647,475,Mirrors,commercial,S,14.2,GC084,0,
648,475,Windows,commercial,L,205,GC094,0,
649,477,Mirrors,commercial,M,26.4,GC010,0,
650,477,Shower Doors,commercial,M,30.3,GC010,0,
651,477,Mirrors,commercial,S,0.607,GC119,0,
652,477,Windows,commercial,S,4.1,GC119,0,
653,477,Windows,commercial,L,180,GC031,0,
654,477,Windows,commercial,M,44.2,GC033,0,
655,481,Shower Doors,commercial,S,14.6,GC207,0,
656,481,Mirrors,commercial,S,10.5,GC207,0,
657,481,Windows,commercial,L,164,GC207,0,
658,481,Windows,commercial,XL,633,GC160,0,
659,482,Windows,commercial,M,27.9,GC108,1,701
660,482,Shower Doors,commercial,S,8.42,GC108,1,701
661,482,Mirrors,commercial,S,1.49,GC108,1,701
662,483,Windows,commercial,XL,575,GC108,0,
663,483,Mirrors,commercial,S,13.2,GC108,0,
664,483,Shower Doors,commercial,L,74.4,GC108,0,
665,483,Mirrors,commercial,M,28.6,GC034,0,
666,483,Windows,commercial,XL,1270,GC034,0,
667,483,Mirrors,commercial,S,4,GC121,1,525
668,483,Windows,commercial,L,98.6,GC121,0,
669,484,Windows,commercial,XL,455,GC108,0,
670,484,Windows,commercial,L,246,GC222,0,
671,484,Mirrors,commercial,S,17.8,GC222,0,
672,485,Windows,commercial,L,159,GC063,0,
673,485,Mirrors,commercial,S,5.55,GC063,0,
674,488,Mirrors,commercial,S,6.24,GC087,0,
675,488,Windows,commercial,L,93.7,GC087,0,
676,488,Mirrors,commercial,L,100,GC141,0,
677,488,Windows,commercial,XL,811,GC141,0,
678,488,Windows,commercial,L,159,GC109,0,
679,488,Mirrors,commercial,S,5.55,GC109,0,
680,489,Windows,commercial,L,320,GC104,0,
681,489,Shower Doors,commercial,M,46.3,GC104,1,588
682,489,Mirrors,commercial,M,21.4,GC104,1,588
683,492,Mirrors,commercial,S,2.76,GC163,0,
684,492,Windows,commercial,L,103,GC163,0,
685,498,Mirrors,commercial,M,47.9,GC046,0,
686,498,Windows,commercial,XL,454,GC046,0,
687,502,Windows,commercial,S,16.1,GC016,0,
688,503,Mirrors,commercial,S,16.1,GC108,1,625
689,505,Windows,commercial,S,4.55,GC086,0,
690,505,Windows,commercial,L,110,GC143,0,
691,505,Mirrors,commercial,S,5.45,GC143,0,
692,505,Mirrors,commercial,S,5.38,GC078,0,
693,505,Windows,commercial,L,121,GC103,0,
694,511,Windows,commercial,S,13.7,GC174,0,
695,511,Mirrors,commercial,S,1.29,GC174,0,
696,511,Windows,commercial,M,29.7,GC084,0,
697,511,Mirrors,commercial,M,56,GC084,0,
698,511,Shower Doors,commercial,L,104,GC084,0,
699,511,Mirrors,commercial,S,1.94,GC084,0,
700,511,Windows,commercial,XL,669,GC084,0,
701,512,Mirrors,commercial,S,5.9,GC010,0,
702,512,Windows,commercial,L,172,GC010,0,
703,512,Shower Doors,commercial,M,18.6,GC010,0,
704,512,Windows,commercial,XL,599,GC098,0,
705,512,Shower Doors,commercial,L,98.2,GC098,0,
706,512,Windows,commercial,L,205,GC222,0,
707,512,Mirrors,commercial,M,33.8,GC014,0,
708,516,Mirrors,commercial,S,3.24,GC189,1,699
709,516,Windows,commercial,M,40.2,GC052,0,
710,520,Windows,commercial,M,23.4,GC119,0,
711,520,Mirrors,commercial,S,1.4,GC119,0,
712,520,Windows,commercial,M,32.2,GC090,0,
713,520,Shower Doors,commercial,S,7.02,GC090,0,
714,520,Mirrors,commercial,S,1.69,GC090,0,
715,524,Windows,commercial,M,21.3,GC087,0,
716,524,Mirrors,commercial,S,0.506,GC087,0,
717,524,Mirrors,commercial,M,27.1,GC107,0,
718,524,Windows,commercial,XL,387,GC107,0,
719,526,Mirrors,commercial,M,20.7,GC154,0,
720,526,Shower Doors,commercial,M,44.6,GC154,0,
721,526,Windows,commercial,XL,525,GC154,0,
722,531,Windows,commercial,M,29.6,GC143,1,680
723,532,Windows,commercial,L,278,GC131,0,
724,534,Mirrors,commercial,M,38.8,GC001,0,
725,534,Windows,commercial,L,116,GC001,1,608
726,538,Mirrors,commercial,M,47.8,GC145,0,
727,538,Windows,commercial,XL,566,GC145,1,944
728,538,Storefront,commercial,XL,547,GC145,0,
729,538,Shower Doors,commercial,M,73.4,GC145,0,
730,539,Windows,commercial,L,218,GC108,0,
731,539,Mirrors,commercial,S,15.8,GC108,1,994
732,541,Mirrors,commercial,S,3.82,GC108,0,
733,541,Windows,commercial,L,286,GC108,0,
734,541,Mirrors,commercial,S,11.7,GC108,0,
735,541,Windows,commercial,L,81.2,GC108,0,
736,541,Windows,commercial,M,33.7,GC108,0,
737,558,Mirrors,commercial,M,67.5,GC046,0,
738,558,Windows,commercial,XL,2190,GC046,0,
739,558,Windows,commercial,L,216,GC213,0,
740,560,Mirrors,commercial,M,31.2,GC138,0,
741,560,Windows,commercial,XL,689,GC138,0,
742,560,Mirrors,commercial,S,14.3,GC087,0,
743,560,Windows,commercial,L,92.6,GC087,0,
744,560,Mirrors,commercial,S,2.49,GC087,0,
745,560,Windows,commercial,M,22.2,GC087,0,
746,561,Windows,commercial,XL,791,GC123,0,
747,561,Mirrors,commercial,M,64.7,GC123,0,
748,562,Windows,commercial,XL,439,GC119,0,
749,562,Mirrors,commercial,M,29.9,GC119,0,
750,566,Windows,commercial,XL,610,GC192,0,
751,566,Mirrors,commercial,M,28.4,GC192,1,750
752,566,Mirrors,commercial,M,39,GC052,0,
753,566,Shower Doors,commercial,L,135,GC052,0,
754,566,Windows,commercial,L,349,GC052,0,
755,568,Mirrors,commercial,S,3.94,GC051,1,752
756,568,Windows,commercial,S,2,GC051,1,752
757,573,Windows,commercial,M,70.4,GC154,0,
758,574,Mirrors,commercial,S,4,GC121,0,
759,574,Windows,commercial,M,59.7,GC121,0,
760,574,Windows,commercial,M,21.5,GC131,0,
761,576,Shower Doors,commercial,M,71.6,GC034,0,
762,576,Mirrors,commercial,M,42.5,GC034,0,
763,576,Windows,commercial,XL,507,GC034,0,
764,576,Windows,commercial,XL,867,GC084,0,
765,576,Mirrors,commercial,M,62.6,GC084,0,
766,579,Mirrors,commercial,S,11.6,GC164,0,
767,579,Windows,commercial,L,126,GC164,0,
768,582,Windows,commercial,L,123,GC158,1,597
769,582,Windows,commercial,L,171,GC087,0,
770,582,Mirrors,commercial,S,6.9,GC063,0,
771,582,Windows,commercial,L,113,GC063,0,
772,582,Windows,commercial,XL,680,GC160,0,
773,586,Shower Doors,commercial,M,71,GC207,0,
774,586,Windows,commercial,XL,739,GC207,0,
775,586,Mirrors,commercial,S,15.4,GC207,0,
776,588,Mirrors,commercial,S,11.5,GC108,1,776
777,588,Windows,commercial,L,81.2,GC160,0,
778,593,Mirrors,commercial,S,3.71,GC108,0,
779,593,Windows,commercial,L,127,GC213,0,
780,593,Shower Doors,commercial,L,201,GC022,1,783
781,593,Storefront,commercial,L,161,GC022,1,783
782,593,Mirrors,commercial,M,57.3,GC022,1,783
783,593,Windows,commercial,XL,720,GC022,1,783
784,595,Windows,commercial,L,136,GC087,0,
785,595,Mirrors,commercial,S,16.8,GC087,0,
786,595,Mirrors,commercial,L,163,GC034,0,
787,595,Windows,commercial,XL,866,GC034,1,692
788,595,Windows,commercial,L,329,GC084,0,
789,595,Shower Doors,commercial,M,68.5,GC084,0,
790,595,Mirrors,commercial,M,38.2,GC084,0,
791,595,Windows,commercial,XL,735,GC097,0,
792,597,Mirrors,commercial,M,51.9,GC108,0,
793,597,Windows,commercial,L,293,GC108,0,
794,601,Windows,commercial,S,6.52,GC061,1,805
795,601,Storefront,commercial,M,43.1,GC071,0,
796,601,Windows,commercial,L,104,GC087,0,
797,601,Mirrors,commercial,S,6.3,GC087,0,
798,601,Mirrors,commercial,M,24,GC143,0,
799,601,Windows,commercial,M,68.8,GC143,0,
800,601,Storefront,commercial,L,202,GC169,0,
801,602,Windows,commercial,XL,903,GC199,0,
802,602,Shower Doors,commercial,L,153,GC199,0,
803,602,Mirrors,commercial,L,106,GC199,0,
804,602,Windows,commercial,XL,395,GC087,0,
805,602,Shower Doors,commercial,M,70,GC087,1,685
806,602,Mirrors,commercial,M,41.4,GC087,1,685
807,602,Windows,commercial,M,32.8,GC154,0,
808,603,Storefront,commercial,L,107,GC154,0,
809,604,Windows,commercial,L,252,GC108,0,
810,604,Shower Doors,commercial,L,77.4,GC108,0,
811,604,Windows,commercial,L,330,GC108,0,
812,604,Mirrors,commercial,S,12.2,GC108,0,
813,604,Mirrors,commercial,S,9.28,GC108,0,
814,604,Windows,commercial,XL,386,GC101,0,
815,604,Mirrors,commercial,M,68.5,GC101,0,
816,608,Windows,commercial,M,23.7,GC218,0,
817,608,Windows,commercial,M,24,GC110,0,
818,609,Mirrors,commercial,M,26.4,GC074,0,
819,609,Windows,commercial,XL,1030,GC014,0,
820,609,Shower Doors,commercial,M,21.4,GC014,0,
821,609,Windows,commercial,L,97.2,GC109,0,
822,615,Mirrors,commercial,M,18.8,GC192,0,
823,615,Windows,commercial,XL,440,GC192,0,
824,616,Windows,commercial,L,73.7,GC146,1,791
825,617,Windows,commercial,L,151,GC029,0,
826,617,Mirrors,commercial,S,12.2,GC207,0,
827,617,Windows,commercial,L,136,GC207,0,
828,617,Mirrors,commercial,M,43,GC084,0,
829,617,Windows,commercial,L,282,GC084,0,
830,617,Windows,commercial,L,73.7,GC146,1,791
831,621,Mirrors,commercial,S,3.5,GC190,0,
832,621,Windows,commercial,M,49.1,GC190,0,
833,621,Mirrors,commercial,M,42.9,GC087,0,
834,621,Windows,commercial,XL,486,GC143,0,
835,623,Storefront,commercial,L,118,GC108,0,
836,623,Windows,commercial,M,22.4,GC131,1,845
837,624,Windows,commercial,L,227,GC051,0,
838,624,Shower Doors,commercial,M,42.1,GC051,0,
839,624,Mirrors,commercial,S,13.4,GC051,0,
840,624,Windows,commercial,L,251,GC097,0,
841,624,Windows,commercial,L,79.6,GC146,1,791
842,628,Mirrors,commercial,S,5.57,GC108,0,
843,628,Windows,commercial,M,38.9,GC108,0,
844,628,Storefront,commercial,L,222,GC131,0,
845,632,Windows,commercial,L,269,GC108,0,
846,632,Mirrors,commercial,M,19.9,GC108,0,
847,632,Windows,commercial,L,207,GC089,0,
848,635,Mirrors,commercial,M,34.4,GC092,0,
849,635,Shower Doors,commercial,L,136,GC092,0,
850,635,Windows,commercial,XL,1410,GC092,0,
851,636,Mirrors,commercial,S,11.1,GC143,0,
852,636,Mirrors,commercial,M,44.7,GC143,0,
853,636,Windows,commercial,XL,597,GC143,0,
854,636,Windows,commercial,XL,471,GC014,0,
855,636,Shower Doors,commercial,M,60.7,GC014,0,
856,636,Mirrors,commercial,M,33.5,GC084,0,
857,636,Windows,commercial,L,175,GC109,0,
858,636,Mirrors,commercial,L,76.7,GC131,0,
859,636,Windows,commercial,XL,631,GC131,0,
860,637,Storefront,commercial,L,154,GC098,0,
861,637,Windows,commercial,XL,1150,GC015,0,
862,637,Mirrors,commercial,L,190,GC015,0,
863,637,Windows,commercial,XL,764,GC207,0,
864,637,Shower Doors,commercial,L,153,GC207,0,
865,637,Mirrors,commercial,M,32.7,GC207,0,
866,642,Mirrors,commercial,S,11.2,GC109,0,
867,642,Windows,commercial,L,118,GC109,0,
868,643,Storefront,commercial,L,82,GC154,0,
869,644,Mirrors,commercial,S,5.49,GC084,0,
870,644,Windows,commercial,M,23.8,GC084,0,
871,645,Windows,commercial,L,166,GC108,0,
872,645,Storefront,commercial,M,45.7,GC087,0,
873,645,Windows,commercial,L,85.4,GC143,0,
874,645,Windows,commercial,L,94.8,GC033,1,882
875,645,Storefront,commercial,M,40.3,GC033,1,882
876,645,Mirrors,commercial,S,7.12,GC160,0,
877,649,Storefront,commercial,S,7.84,GC155,0,
878,649,Storefront,commercial,M,58.5,GC040,0,
879,649,Windows,commercial,L,278,GC072,0,
880,649,Windows,commercial,L,121,GC213,0,
881,649,Mirrors,commercial,S,3.39,GC213,0,
882,652,Windows,commercial,L,183,GC089,0,
883,653,Storefront,commercial,M,47.4,GC063,0,
884,653,Windows,commercial,XL,1040,GC213,0,
885,653,Mirrors,commercial,M,60.6,GC213,0,
886,656,Storefront,commercial,L,89.7,GC098,0,
887,657,Shower Doors,commercial,M,60.6,GC222,0,
888,657,Windows,commercial,XL,870,GC222,0,
889,657,Mirrors,commercial,M,55.7,GC222,0,
890,658,Storefront,commercial,M,24.3,GC169,0,
891,659,Storefront,commercial,M,29.6,GC138,0,
892,659,Storefront,commercial,M,29,GC154,0,
893,659,Shower Doors,commercial,S,13.9,GC140,0,
894,659,Windows,commercial,L,98.4,GC140,0,
895,659,Mirrors,commercial,S,4.74,GC140,0,
896,663,Windows,commercial,L,91.7,GC010,0,
897,664,Storefront,commercial,M,20.8,GC138,1,929
898,664,Storefront,commercial,L,154,GC078,0,
899,664,Windows,commercial,L,139,GC131,0,
900,666,Windows,commercial,L,345,GC143,0,
901,666,Mirrors,commercial,S,16.6,GC143,0,
902,670,Storefront,commercial,L,150,GC051,0,
903,670,Storefront,commercial,M,25.1,GC058,0,
904,672,Storefront,commercial,L,149,GC199,0,
905,672,Mirrors,commercial,S,2.02,GC063,0,
906,672,Windows,commercial,L,74.1,GC063,0,
907,673,Windows,commercial,XL,867,GC087,0,
908,673,Shower Doors,commercial,L,154,GC087,0,
909,673,Mirrors,commercial,M,18.7,GC087,0,
910,673,Windows,commercial,L,79,GC039,0,
911,673,Mirrors,commercial,S,9.25,GC039,0,
912,677,Windows,commercial,M,48.4,GC226,0,
913,677,Mirrors,commercial,S,4.01,GC226,0,
914,677,Storefront,commercial,L,311,GC184,0,
915,678,Windows,commercial,XL,476,GC051,0,
916,678,Mirrors,commercial,M,51.9,GC051,0,
917,678,Storefront,commercial,L,245,GC063,0,
918,679,Storefront,commercial,M,26.1,GC133,1,714
919,680,Storefront,commercial,L,103,GC051,0,
920,680,Windows,commercial,XL,604,GC046,0,
921,680,Mirrors,commercial,M,57.6,GC046,0,
922,680,Storefront,commercial,M,67.3,GC187,0,
923,681,Windows,commercial,M,39.4,GC052,0,
924,681,Mirrors,commercial,S,1.63,GC052,0,
925,681,Shower Doors,commercial,S,8.27,GC052,0,
926,681,Storefront,commercial,L,292,GC101,1,798
927,681,Mirrors,commercial,M,68.9,GC101,1,798
928,681,Windows,commercial,XL,581,GC101,1,798
929,681,Windows,commercial,L,141,GC109,0,
930,681,Mirrors,commercial,S,11.2,GC109,0,
931,681,Storefront,commercial,S,8.97,GC213,0,
932,686,Windows,commercial,M,63.2,GC052,0,
933,686,Mirrors,commercial,S,1.13,GC052,0,
934,686,Shower Doors,commercial,S,6.55,GC052,0,
935,687,Storefront,commercial,XL,478,GC026,0,
936,687,Storefront,commercial,M,58.4,GC189,0,
937,687,Windows,commercial,M,69.5,GC201,0,
938,687,Storefront,commercial,S,13.4,GC115,0,
939,688,Shower Doors,commercial,L,104,GC084,0,
940,688,Mirrors,commercial,M,58.4,GC084,0,
941,688,Windows,commercial,XL,1520,GC084,0,
942,692,Windows,commercial,S,3.54,GC051,0,
943,692,Storefront,commercial,M,19.8,GC051,0,
944,698,Mirrors,commercial,S,1.93,GC193,0,
945,698,Windows,commercial,S,11.6,GC193,0,
946,699,Windows,commercial,L,241,GC108,0,
947,699,Mirrors,commercial,M,19.9,GC108,0,
948,699,Windows,commercial,L,126,GC087,0,
949,699,Mirrors,commercial,S,13.7,GC119,0,
950,699,Mirrors,commercial,M,36.1,GC046,0,
951,699,Windows,commercial,XL,518,GC046,0,
952,699,Shower Doors,commercial,L,87.8,GC052,0,
953,699,Windows,commercial,L,261,GC052,0,
954,699,Mirrors,commercial,S,17,GC052,0,
955,700,Storefront,commercial,M,33.9,GC109,0,
956,706,Mirrors,commercial,S,10.4,GC155,0,
957,706,Windows,commercial,L,87.4,GC155,0,
958,706,Shower Doors,commercial,L,239,GC014,0,
959,706,Windows,commercial,XL,1150,GC014,0,
960,706,Mirrors,commercial,M,52.6,GC014,0,
961,707,Windows,commercial,XL,1820,GC099,0,
962,708,Windows,commercial,M,64.1,GC121,0,
963,708,Mirrors,commercial,S,5.64,GC121,0,
964,708,Shower Doors,commercial,S,11.6,GC121,0,
965,709,Windows,commercial,L,89.5,GC160,0,
966,709,Shower Doors,commercial,M,50,GC160,0,
967,709,Mirrors,commercial,S,8.94,GC160,0,
968,712,Storefront,commercial,M,44.2,GC080,0,
969,715,Windows,commercial,L,103,GC193,0,
970,715,Windows,commercial,L,133,GC131,1,789
971,715,Windows,commercial,L,86.8,GC131,1,897
972,716,Shower Doors,commercial,S,13,GC084,0,
973,716,Storefront,commercial,M,37.1,GC084,1,954
974,716,Windows,commercial,L,235,GC084,1,954
975,716,Mirrors,commercial,M,45.7,GC084,1,954
976,733,Storefront,commercial,M,23.8,GC030,1,895
977,733,Storefront,commercial,M,24.9,GC030,1,894
978,733,Storefront,commercial,L,96.1,GC030,1,893
979,733,Shower Doors,commercial,M,39.8,GC108,0,
980,733,Mirrors,commercial,S,5.92,GC160,0,
981,733,Windows,commercial,L,185,GC160,1,824
982,736,Mirrors,commercial,M,56.7,GC084,0,
983,736,Shower Doors,commercial,L,136,GC084,0,
984,736,Windows,commercial,XL,1130,GC084,0,
985,737,Mirrors,commercial,S,8.2,GC131,0,
986,742,Storefront,commercial,M,32.1,GC004,0,
987,743,Mirrors,commercial,M,42.1,GC014,0,
988,743,Windows,commercial,XL,1210,GC014,0,
989,743,Mirrors,commercial,M,23.3,GC084,1,1023
990,743,Windows,commercial,L,235,GC084,1,1023
991,744,Storefront,commercial,M,48.4,GC184,0,
992,744,Storefront,commercial,M,46.1,GC063,0,
993,747,Storefront,commercial,S,0.227,GC004,1,928
994,749,Windows,commercial,L,164,GC193,0,
995,749,Mirrors,commercial,S,11.2,GC193,0,
996,749,Windows,commercial,M,38,GC136,0,
997,749,Mirrors,commercial,S,6.13,GC136,0,
998,749,Windows,commercial,L,165,GC140,0,
999,749,Shower Doors,commercial,S,16.7,GC140,0,
1000,749,Mirrors,commercial,S,4.96,GC140,0,
1001,749,Windows,commercial,L,145,GC213,0,
1002,751,Shower Doors,commercial,M,25.1,GC104,0,
1003,751,Windows,commercial,L,263,GC104,0,
1004,751,Mirrors,commercial,S,12.3,GC104,0,
1005,754,Mirrors,commercial,M,49.8,GC119,0,
1006,754,Shower Doors,commercial,L,90.4,GC119,0,
1007,754,Windows,commercial,XL,1290,GC119,0,
1008,755,Storefront,commercial,L,153,GC184,0,
1009,755,Windows,commercial,L,254,GC084,0,
1010,755,Shower Doors,commercial,L,75.4,GC084,0,
1011,755,Storefront,commercial,M,65.9,GC084,0,
1012,755,Mirrors,commercial,M,37.4,GC084,0,
1013,756,Mirrors,commercial,S,16.9,GC223,0,
1014,756,Windows,commercial,L,201,GC223,0,
1015,756,Shower Doors,commercial,M,37.9,GC223,0,
1016,756,Windows,commercial,XL,481,GC161,1,1114
1017,756,Mirrors,commercial,M,61,GC161,0,
1018,756,Storefront,commercial,L,253,GC161,1,1114
1019,756,Windows,commercial,L,78.3,GC084,0,
1020,756,Mirrors,commercial,S,2.13,GC084,0,
1021,757,Mirrors,commercial,M,19.8,GC119,0,
1022,757,Windows,commercial,XL,576,GC119,0,
1023,757,Storefront,commercial,M,26.5,GC086,0,
1024,757,Shower Doors,commercial,M,25.3,GC101,1,757
1025,757,Storefront,commercial,M,45.7,GC141,0,
1026,757,Storefront,commercial,M,45.5,GC039,0,
1027,763,Storefront,commercial,S,5.99,GC138,0,
1028,763,Storefront,commercial,L,162,GC030,1,896
1029,763,Windows,commercial,L,150,GC066,0,
1030,765,Mirrors,commercial,S,13,GC107,0,
1031,765,Windows,commercial,L,321,GC107,0,
1032,769,Storefront,commercial,M,26.7,GC051,0,
1033,769,Storefront,commercial,M,31.4,GC051,0,
1034,769,Windows,commercial,L,126,GC051,0,
1035,769,Mirrors,commercial,S,4.84,GC051,0,
1036,769,Windows,commercial,L,190,GC051,0,
1037,769,Mirrors,commercial,S,4,GC051,0,
1038,769,Mirrors,commercial,S,5.64,GC163,0,
1039,769,Storefront,commercial,M,55.8,GC163,0,
1040,769,Shower Doors,commercial,S,11.6,GC163,0,
1041,769,Windows,commercial,M,66.6,GC163,0,
1042,769,Mirrors,commercial,M,23.4,GC207,0,
1043,769,Windows,commercial,XL,807,GC207,0,
1044,771,Mirrors,commercial,S,3.01,GC222,0,
1045,771,Storefront,commercial,S,17.5,GC063,0,
1046,772,Windows,commercial,L,221,GC193,0,
1047,772,Shower Doors,commercial,S,15.5,GC193,0,
1048,772,Mirrors,commercial,S,9.75,GC193,0,
1049,772,Mirrors,commercial,M,59.9,GC084,0,
1050,772,Windows,commercial,XL,951,GC084,0,
1051,772,Shower Doors,commercial,L,123,GC084,0,
1052,776,Windows,commercial,S,17.8,GC052,0,
1053,777,Windows,commercial,L,212,GC123,0,
1054,777,Shower Doors,commercial,L,108,GC123,1,1121
1055,779,Windows,commercial,L,77.5,GC083,0,
1056,779,Shower Doors,commercial,L,211,GC027,0,
1057,779,Windows,commercial,L,337,GC027,0,
1058,779,Mirrors,commercial,M,34.5,GC027,0,
1059,782,Storefront,commercial,XL,1220,GC108,0,
1060,782,Storefront,commercial,L,80.6,GC183,0,
1061,783,Storefront,commercial,S,16.2,GC084,0,
1062,784,Storefront,commercial,L,142,GC218,0,
1063,785,Storefront,commercial,L,250,GC108,0,
1064,785,Storefront,commercial,L,235,GC158,0,
1065,785,Windows,commercial,L,77.6,GC213,0,
1066,785,Mirrors,commercial,S,4.27,GC213,0,
1067,785,Windows,commercial,L,75.4,GC146,0,
1068,786,Mirrors,commercial,M,29,GC199,0,
1069,786,Storefront,commercial,M,21.5,GC100,0,
1070,786,Windows,commercial,L,199,GC131,0,
1071,789,Windows,commercial,M,24.5,GC051,0,
1072,789,Mirrors,commercial,S,1.8,GC051,0,
1073,789,Storefront,commercial,L,159,GC108,0,
1074,789,Mirrors,commercial,L,124,GC087,0,
1075,789,Windows,commercial,XL,1690,GC143,0,
1076,789,Shower Doors,commercial,L,144,GC143,0,
1077,789,Mirrors,commercial,M,55.1,GC014,0,
1078,789,Shower Doors,commercial,L,178,GC014,0,
1079,789,Windows,commercial,XL,2030,GC014,0,
1080,790,Storefront,commercial,L,353,GC184,0,
1081,790,Storefront,commercial,M,58.5,GC103,0,
1082,791,Windows,commercial,XL,1390,GC199,0,
1083,791,Mirrors,commercial,L,127,GC199,0,
